Title;Excerpt;Tags;Team;Projekt-URL
Zentrum für Kultur- und Sozialwissenschaften der Natur;Das Zentrum für Kultur- und Sozialwissenschaften der Natur vereint Wissenschaftler*innen und Akteur*innen aus Wissenschaftsgeschichte, Science & Technology Studies, Wissenschafts- und Umweltsoziologie, Kulturwissenschaften, Museum Studies sowie den bildenden Künsten. Es widmet sich den Politiken, Geschichten und Kulturen von Natur durch eigenständige Forschung und öffentliche Aktivitäten im Bereich Wissenstransfer.;FB2 Zukunft der Sammlung;Anita Hermannstädter, Dr. Ina Heumann, Dr. Katja Kaiser, Prof. Dr. Michael Ohl, Dr. Catarina Madruga, Sarina Schirmer, Katja Kaiser;https://www.museumfuernaturkunde.berlin/de/forschung/zentrum-fuer-kultur-und-sozialwissenschaften-der-natur
Sammlungsentwicklung;Die „Sammlungsentwicklung“ befasst sich mit der dauerhaften, möglichst optimalen und umfassenden Sicherung und Entwicklung der Sammlungen des Museums. Ein professionelles, wissenschaftlich begleitetes und internationalen Standards entsprechendes Sammlungsmanagement ist dabei die Grundlage, um die Sammlungen als globale Infrastruktur für heutige und zukünftige wissenschaftliche und gesellschaftliche Fragen und Bedürfnisse weiterzuentwickeln.;FB2 Zukunft der Sammlung, Sammlung;Dr. Christiane Quaisser;https://www.museumfuernaturkunde.berlin/de/forschung/sammlungsentwicklung
Forschungscluster: NaturBerlin;Veränderungen und deren Konsequenzen in und um Berlin erfassen, verstehen und positiv gestalten;Forschung, Forschungscluster, Zukunftsplan, Biodiversität, Bürgerwissenschaften, Gesellschaft, Klimawandel;Dr. Nike Sommerwerk, Dr. Jörg Freyhof;https://www.museumfuernaturkunde.berlin/de/forschung/forschungscluster-naturberlin
Forschungscluster: AutoBio;Von Museomik zu Genomik und Mustererkennung;Forschung, Forschungsinfrastruktur, Forschungscluster, Genomik, Zukunftsplan, Sammlung, Biodiversität;Prof. Dr. Rudolf Meier, Dr. Thomas von Rintelen;https://www.museumfuernaturkunde.berlin/de/forschung/forschungscluster-autobio
Forschungscluster: Frühes Sonnensystem;Erforschung des frühen Sonnensystems durch innovative Ansätze der Sammlungserschließung - Meteoriten und Mineralien;Forschung, Forschungsinfrastruktur, Forschungscluster, Zukunftsplan, Sammlung, Einschlag, Geowissenschaften;Prof. Dr. Lutz Hecht, Dr. Ansgar Greshake, Dr. Ralf-Thomas Schmitt;https://www.museumfuernaturkunde.berlin/de/forschung/forschungscluster-fruehes-sonnensystem
Forschungscluster: SoundEvolution;Im Anthropozän verändern sich Ökosysteme weltweit rasant.;Forschung, Forschungsinfrastruktur, Forschungscluster, Zukunftsplan, Sammlung, Biodiversität;PD Dr. Mirjam Knörnschild, Dr. Karl-Heinz Frommolt, PD Dr. Frieder Mayer, PD Dr. Mark-Oliver Rödel;https://www.museumfuernaturkunde.berlin/de/forschung/forschungscluster-soundevolution
Forschungscluster: OpenHeritage;Das Cluster “Open Heritage” vereint Projekte aus allen Forschungsbereichen des Museums für Naturkunde;Forschung, Transfer, Forschungscluster, Öffnung des Museums, Zukunftsplan, Wissenstransfer, Wissenschaftskommunikation, Sammlung, Gesellschaft, Kulturerbe;Dr. Ina Heumann, Dr. Christiane Quaisser;https://www.museumfuernaturkunde.berlin/de/forschung/forschungscluster-openheritage
"Wissenschaftskommunikationsziele eines interdisziplinären Ausstellungsteams am Beispiel des Ausstellungsprojekts ""Tristan - Berlin zeigt Zähne""";Im Rahmen einer interdisziplinären Kooperation wurde ein innovatives Ausstellungskonzept entwickelt: Das fossile Skelett eines T. rex ist gleichzeitig Ausstellungs- und Forschungsobjekt. Untersucht wurden die Wissenschaftskommunikationsziele von Austellungskurator:innen und Wissenschaftler:innen.;FB3 Gesellschaft und Natur, Ausstellung, Forschung, Wissenstransfer, Wissenschaftskommunikation, Fossilien;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/de/forschung/wissenschaftskommunikationsziele-eines-interdisziplinaeren-ausstellungsteams-am-beispiel
Epistemologische Überzeugungen von Schülerinnen und Schülern am Beispiel der Sonderausstellung „Tristan – Berlin zeigt Zähne“;Die Natur der Naturwissenschaften verstehen - Forschende untersuchen, wie das Wissenschaftsverständnis von Schülerinnen und Schülern durch die T. rex Sonderausstellung „Tristan“ beeinflusst wird.;FB3 Gesellschaft und Natur, Ausstellung, Social Innovation Unit, Forschung, Wissenstransfer, Wissenschaftskommunikation;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/de/forschung/epistemologische-ueberzeugungen-von-schuelerinnen-und-schuelern-am-beispiel-der
Artenkenntnis über Vögel von Schülerinnen und Schülern in Berlin;Haussperling oder Nachtigall? Forschende untersuchen, ob Schülerinnen und Schüler regionale Vogelarten an Aussehen und Gesang erkennen.;FB3 Gesellschaft und Natur, Social Innovation Unit, Forschung, Wissenstransfer, Artenschutz, Artensterben, Biodiversität, Gesellschaft;Ulrike Sturm, Dr. Alexandra Moormann, Silke Voigt-Heucke, Dr. Kim Mortega;https://www.museumfuernaturkunde.berlin/de/forschung/artenkenntnis-ueber-voegel-von-schuelerinnen-und-schuelern-berlin
Innovative BROMACKER Kommunikationsformate für alle;Verknüpfung von Forschung und Wissenstransfer;Evolutionäre Diversitätsdynamik, Ausstellung, Forschung, Öffnung des Museums, Wissenstransfer, Wissenschaftskommunikation, Sammlung, Biodiversität, Open Science, Gesellschaft, Digitalisierung, Evolution, Fossilien, Geowissenschaften, Labore, Kooperation, Kulturerbe;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Dr. Ludwig Ludhardt, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/de/forschung/innovative-bromacker-kommunikationsformate-fuer-alle
Die naturwissenschaftliche Forschung am Bromacker;Einzigartige Spuren- und Körperfossilien aus dem Perm;Evolutionäre Diversitätsdynamik, Forschung, Sammlung, Biodiversität, Digitalisierung, Evolution, Fossilien, Geowissenschaften, Labore, Klimawandel, Kooperation, Kulturerbe;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Dr. Ludwig Luthardt, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/de/forschung/die-naturwissenschaftliche-forschung-am-bromacker
Geschichte der Fossillagerstätte Bromacker;Einzigartige Fossilien im Thüringer Wald;Evolutionäre Diversitätsdynamik, Forschung, Sammlung, Biodiversität, Evolution, Fossilien, Geowissenschaften, Kulturerbe;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Dr. Ludwig Ludhardt, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/de/forschung/geschichte-der-fossillagerstaette-bromacker
BROMACKER: Neue Wege der Wissenschaftskommunikation;BROMACKER: Gemeinsame Forschung und Wissenstransfer;Evolutionäre Diversitätsdynamik, Ausstellung, Forschung, Transfer, Öffnung des Museums, Wissenstransfer, Sammlung, Biodiversität, Open Science, Gesellschaft, Digitalisierung, Evolution, Fossilien, Geowissenschaften, Labore, Kooperation, Kulturerbe;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Dr. Ludwig Luthardt, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/de/forschung/bromacker-neue-wege-der-wissenschaftskommunikation
Nähe trotz Distanz: Sozialforschung trifft Technologie;Neue Formen der Begegnungskommunikation im musealen Raum (NuForm);FB3 Gesellschaft und Natur, Ausstellung, Forschung, Öffnung des Museums, Wissenstransfer, Digitalisierung;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/de/forschung/naehe-trotz-distanz-sozialforschung-trifft-technologie
Forschungscluster: Embryologie;Die embryologische Sammlung  ist eine der größten und taxonomisch reichhaltigsten Sammlungen weltweit.;Forschung, Forschungscluster, Morphologie, Zukunftsplan, Sammlung, Evolution;Prof. Dr. Jörg Fröbisch, Prof. Nadia Fröbisch, Ph.D., Dr. Peter Giere;https://www.museumfuernaturkunde.berlin/de/forschung/forschungscluster-embryologie
Leitfaden zum Umgang mit naturkundlichem Sammlungsgut aus kolonialen Kontexten;Das Museum für Naturkunde Berlin beleuchtet in einer breiten internen Diskussion sowie im engen Austausch mit anderen wissenschaftlichen Institutionen, zivilgesellschaftlichen Akteur*innen und Forschenden aus verschiedenen Disziplinen die politischen, rechtlichen und ethischen Aspekte von...;FB2 Zukunft der Sammlung, Forschung, Politik, Sammlung;Dr. Ina Heumann, Dr. Katja Kaiser, Katja Kaiser;https://www.museumfuernaturkunde.berlin/de/forschung/leitfaden-zum-umgang-mit-naturkundlichem-sammlungsgut-aus-kolonialen-kontexten
Koloniale Provenienzen der Natur;Das Projekt untersucht die Geschichte der Säugetiersammlung des Museum für Naturkunde Berlin in den Jahren von ca. 1880 bis 1920...;FB2 Zukunft der Sammlung, Sammlung;Dr. Ina Heumann, Dr. Catarina Madruga;https://www.museumfuernaturkunde.berlin/de/forschung/koloniale-provenienzen-der-natur
Modelllernen anhand von Dioramen, VR Erlebnissen und anderen Erfahrungsräumen;In dieser Studie wird untersucht, inwiefern sich mentale Modelle von Lernenden über natürliche Ökosysteme am Beispiel von Korallenriffen durch eine wiederholte und variierende Begegnung mit Dioramen (und anderen Erfahrungsräumen wie z.B. VR Erlebnis, Aquariumsbesuch) graduell entwickeln.;FB3 Gesellschaft und Natur, Forschung, Wissenstransfer;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/de/forschung/modelllernen-anhand-von-dioramen-vr-erlebnissen-und-anderen-erfahrungsraeumen
WissensFluss: Die Berliner Panke;WissensFluss Panke ist ein partizipatives Projekt, bei dem wir Schulen und die Öffentlichkeit einladen, die Artenvielfalt und Lebensräume eines lokalen Berliner Flusses - der Panke - zu entdecken und zu erforschen.;FB3 Gesellschaft und Natur, Social Innovation Unit, Bürgerwissenschaften;;https://www.museumfuernaturkunde.berlin/de/forschung/wissensfluss-die-berliner-panke
Reihe Berliner Stadtnatur;Mit der Reihe “Berliner Stadtnatur” stellen wir in jeder Ausgabe eine andere Art der Berliner Natur in den Mittelpunkt. Neben interessante Informationen wollen wir dabei auch immer praktische Tipps geben wie und wo die Art in Berlin entdeckt werden kann.;FB3 Gesellschaft und Natur, Social Innovation Unit;Ulrike Sturm, Martin Tscholl;https://www.museumfuernaturkunde.berlin/de/forschung/reihe-berliner-stadtnatur
Bewertung des Evolutionsverständnisses von Grundschulkindern;Im Rahmen einer europäischen Studie von Eurocitizen.eu untersuchen wir, wie Grundschulkinder über Evolution von Lebewesen denken.;FB3 Gesellschaft und Natur, Ausstellung, Social Innovation Unit, Forschung, Wissenstransfer, Gesellschaft, Evolution;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/de/wissenschaft/bewertung-des-evolutionsverst%C3%A4ndnisses-von-grundsch%C3%BClern
Sammlungserschließung;Mit dem Zukunftsplan treibt das Museum die nachhaltige Entwicklung und Erschließung seiner Sammlung voran und schafft innovative Nutzungsmöglichkeiten.;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Transfer, Sammlungsmanagement, Politik, Sammlung, Gesellschaft, Digitalisierung;Dr. Mareike Petersen, Dr. Frederik Berger, Dr. Anke Hoffmann;https://www.museumfuernaturkunde.berlin/de/forschung/sammlungserschliessung
E²MeVa – Einstellung gegenüber Evolution – Messinstrumente und Validität der Ergebnisse;In dieser Untersuchung zur Akzeptanz der Evolution werden verschiedene Testpersonen wie Museumsbesuchende, Schulkinder und Lehramtsstudierende mithilfe verschiedener internationaler Messinstrumente befragt.;FB3 Gesellschaft und Natur, Ausstellung, Social Innovation Unit, Forschung, Wissenstransfer, Gesellschaft, Evolution;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/de/wissenschaft/e%C2%B2meva-einstellung-gegenueber-evolution-messinstrumente-und-validitaet-der-ergebnisse
Persönlichkeitsunterschiede bei Blumenfledermäusen;Tropische Fledermäuse, die sich von Nektar, Pollen und Früchten ernähren, fungieren oft als wichtige Bestäuber und Samenverbreiter im Ökosystem tropischer Regenwälder.;Evolutionäre Diversitätsdynamik, Forschung, Säugetiere, Artenschutz;PD Dr. Mirjam Knörnschild;https://www.museumfuernaturkunde.berlin/de/forschung/persoenlichkeitsunterschiede-bei-blumenfledermaeusen
Datenportal;Das Datenportal des Museums für Naturkunde Berlin bietet Zugang zu den digitalisierten Sammlunsgobjekten. Es wird kontinuierlich weiterentwickelt und mit neuen Einträgen gespeist.;FB2 Zukunft der Sammlung, Forschungsinfrastruktur, Öffnung des Museums, Sammlungsmanagement, Sammlung, Digitalisierung;Jens Dobberthin, Jasper Funk-Smit, Alexander Buhl;https://www.museumfuernaturkunde.berlin/de/forschung/datenportal
Nationale Forschungsdateninfrastruktur;In der nachhaltigen nationalen und internationalen Wissenschaftsvernetzung nimmt das Museum für Naturkunde Berlin eine führende Rolle ein. Es trägt seine Kompetenzen dazu bei, wie Daten auf innovative Weise erschlossen, verknüpft und zugänglich gemacht werden können.;FB2 Zukunft der Sammlung, Forschung, Sammlung, Biodiversität, Open Science, Gesellschaft, Kulturerbe;Dr. Jana Hoffmann, Dr. Christian Bölling, Dr. Frederik Berger, Falko Glöckler, Dr. David Lazarus, Prof. Dr. Tahani Nadim, Dr. Christian Bölling;https://www.museumfuernaturkunde.berlin/de/forschung/nationale-forschungsdateninfrastruktur
Schwerwiegende Schenkungen;Der Auf- und Ausbau von Naturaliensammlungen beruht seit jeher in einem erheblichen Maß auf Schenkungen. Auch die Mineralogisch-Petrographische Sammlung des Museum für Naturkunde erhielt in ihren ersten Jahrzehnten mehrere Sammlungen übereignet.;FB2 Zukunft der Sammlung, Forschung, Politik, Sammlung;Dr. Ina Heumann, Dr. Angela Strauß, N.N.;https://www.museumfuernaturkunde.berlin/de/forschung/schwerwiegende-schenkungen
Digitizing Collections, Prototyping Publics;Welche potenzielle Rolle kann die Öffentlichkeit innerhalb der aktuellen Digitalisierung der naturkundlichen Sammlungen spielen?;FB2 Zukunft der Sammlung, Datenbank, Wissenschaftsdatenmanagement, Sammlung, Digitalisierung;;https://www.museumfuernaturkunde.berlin/de/forschung/digitizing-collections-prototyping-publics
Natur der Dinge. Eine partizipative Sammlung des Anthropozäns;Unser Sammlungsexperiment hat begonnen: Tragt selbst bei unter NaturderDinge.de und werdet Teil der Sammlung!;FB3 Gesellschaft und Natur, Social Innovation Unit, Transfer, Sammlung, Bürgerwissenschaften, Gesellschaft, Digitalisierung;Elisabeth Heyne, Ulrike Sturm, Julia Tovote, Mira Witte, Jan Sevcik, Paula Sommerer;https://www.museumfuernaturkunde.berlin/de/forschung/natur-der-dinge.-eine-partizipative-sammlung-des-anthropozaens
Bilder der Natur #1;"Die Beiträge der Reihe ""Bilder der Natur"" geben Einblick in die Bildsammlungen der Historischen Arbeitsstelle.";FB3 Gesellschaft und Natur, Forschung, Wissenstransfer, Wissenschaftskommunikation, Sammlung;Sophia Gräfe;https://www.museumfuernaturkunde.berlin/de/forschung/bilder-der-natur-1
Ringvorlesung: Animals As Objects;This interdisciplinary and international Ringvorlesung examines the role of animals in institutional and infrastructural arrangements, past and present.;FB2 Zukunft der Sammlung, Forschung, Wissenstransfer;Mareike Vennen;https://www.museumfuernaturkunde.berlin/de/forschung/ringvorlesung-animals-objects
Cliff If Felsen;Cliff if Felsen ist ein Lyrikprojekt, das sich mit der Poetik und Politik naturhistorischer Tierexemplare auseinandersetzt. Im Mittelpunkt stehen die Vögel, die der Zoologe Ernst Schäfer und der amerikanische Naturforscher Brooke Dolan II während ihrer zweiten Expedition nach Tibet …;FB2 Zukunft der Sammlung, Politik, Wissenstransfer, Wissenschaftskommunikation, Sammlung, Gesellschaft;;https://www.museumfuernaturkunde.berlin/de/forschung/cliff-if-felsen
Das dressierte Tier;Bis heute bleibt die Popularität der Tierdressur des 19. Jahrhunderts ungebrochen. Seither fasziniert die Idee hinter der Dressur…;FB2 Zukunft der Sammlung, Forschung, Politik, Gesellschaft;;https://www.museumfuernaturkunde.berlin/de/forschung/das-dressierte-tier
Die Bildsammlung Georg August Zenker in der Historischen Arbeitsstelle;Die Bildsammlung Georg August Zenker in der Historischen Arbeitsstelle;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/die-bildsammlung-georg-august-zenker-der-historischen-arbeitsstelle
Die Registratur der Natur;Im Jahr seiner Gründung 1810 füllte das Zoologische Museum gerade einmal vier Räume im Ostflügel der neuen Berliner Universität, doch bereits 1820 waren Hunderte von Exemplaren in die Sammlung des Museums eingegangen...;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlungsmanagement, Wissenschaftsdatenmanagement, Sammlung;;https://www.museumfuernaturkunde.berlin/de/forschung/die-registratur-der-natur
Artbildung durch kulturelle Unterschiede;Die Große Sackflügelfledermaus singt in verschiedenen Dialekten. In einem Projekt wird erforscht, ob sich diese kulturell weitergegebenen Gesangsdialekte auf die Artbildung auswirken.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Morphologie, Säugetiere, Artenschutz, Evolution;Prof. Dr. Mirjam Knörnschild;https://www.museumfuernaturkunde.berlin/de/forschung/artbildung-durch-kulturelle-unterschiede
Der Nachlass Rudolf Mell in der Historischen Arbeitsstelle;Einer der sich in den Historischen Bild- und Schriftgutsammlungen des Museums befindlichen Nachlässe ist der von Rudolf Mell:;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/der-nachlass-rudolf-mell-der-historischen-arbeitsstelle
Objektsammlungen;In den Historischen Bild- und Schriftgutsammlungen finden sich folgende Objektsammlungen:;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/objektsammlungen
Bildsammlungen;Im Archiv befinden sich folgende Bildsammlungen:;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/bildsammlungen
Konvolute;Im Archiv befinden sich folgende Konvolute;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/konvolute
Nachlässe;Im Archiv finden sich Nachlässe folgender Personen;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/nachlaesse
Schriftgutbestand – Thematische Übersicht;Der Schriftgutbestand des Archivs beinhaltet (unter anderem) Verwaltungsakten, Korrespondenz, Personalangelegenheiten in Verbindung mit der Universität, Erwerbung von Sammlungen und Objekten, Sammelreisen.;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/schriftgutbestand-thematische-uebersicht
Schriftgutsammlung - Chronologische Übersicht;Der Schriftgutbestand des Archivs beinhaltet (unter anderem) Verwaltungsakten, Korrespondenz, Personalangelegenheiten in Verbindung mit der Universität, Erwerbung von Sammlungen und Objekten, Sammelreisen.;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/schriftgutsammlung-chronologische-uebersicht
Schriftgutbestand;Der Schriftgutbestand des Archivs beinhaltet die Akten und Korrespondenzen der Museumsverwaltung, der Kustodien sowie anderweitigen Abteilungen (z.B. Ausstellungsabteilung) seit 1810.;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Sammlung, Kulturerbe;;https://www.museumfuernaturkunde.berlin/de/forschung/schriftgutbestand
Artenvielfalt kennen und pflegen;Wie produzieren die Verflechtungen zwischen Menschen, Nichtmenschen und Technologien spezifische Arten des Wissens über die Umwelt?;FB2 Zukunft der Sammlung, Forschung, Transfer, Biodiversität, Bürgerwissenschaften, Gesellschaft;;https://www.museumfuernaturkunde.berlin/de/forschung/artenvielfalt-kennen-und-pflegen
Wälder in Bernstein;Fenster in die Vergangenheit: Anhand von in Bernstein eingeschlossenen Pflanzenteilen können vergangene Vegetationen rekonstruiert werden.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Sammlung, Evolution;Simon Beurel, Dr. Eva-Maria Sadowski;https://www.museumfuernaturkunde.berlin/de/forschung/waelder-bernstein
Günter Tembrock und die Rotfüchse;Als Günter Tembrock im Jahr 1948 die Zusage der Deutschen Akademie der Wissenschaften zu Berlin für die Förderung des Aufbaus einer „Forschungsstätte für Tierpsychologie“ in den Händen hielt, schien der Weg frei für ein ambitioniertes Forschungsprojekt;FB2 Zukunft der Sammlung, Forschung, Säugetiere, Sammlung;Sophia Gräfe;https://www.museumfuernaturkunde.berlin/de/forschung/guenter-tembrock-und-die-rotfuechse
Wetterstationen für Biodiversitätsforschung;Wie sich Artenvielfalt lokal entwickelt ist über längere Zeit nur mit hohem Aufwand zu verfolgen. Mikrofone und Computer könnten Forschenden Feldarbeit abnehmen.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Biodiversität;Karl-Heinz Frommolt, Dr. Olaf Jahn, Benjamin Werner, Hakan Dogan, Dr. Karl-Heinz Frommolt;https://www.museumfuernaturkunde.berlin/de/forschung/wetterstationen-fuer-biodiversitaetsforschung
Die El’gygytgyn-Expedition;Im Nordosten Russlands finden Forschende Spuren eines Einschlags eines großen außerirdischen Körpers. Am Museum für Naturkunde Berlin wurden anhand von Gesteinsproben die Kraterbildung untersucht.;FB1 Dynamik der Natur, Sonnensystem, Impakte & Meteoriten, Forschung, Einschlag, Geowissenschaften, Klimawandel;;https://www.museumfuernaturkunde.berlin/de/forschung/die-elgygytgyn-expedition-0
Lauschangriff auf Artenschwund;Die akustische Erfassung von Tierarten in einem Gebiet ist aufwendig. Ein am Museum für Naturkunde Berlin mitentwickeltes Sensorsystem soll schnell und kostengünstig verlässliche Daten liefern.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Forschungsinfrastruktur, Transfer, Wissenstransfer, Artenschutz, Biodiversität;Dr. Karl-Heinz Frommolt;https://www.museumfuernaturkunde.berlin/de/forschung/lauschangriff-auf-artenschwund
Eidechsen im Wärmetest;Um bis heute zu überleben, mussten sich Halsbandeidechsen anpassen. Der Klimawandel stellt die Reptilien vor besondere Herausforderungen.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung;Prof. Dr. Johannes Müller;https://www.museumfuernaturkunde.berlin/de/forschung/eidechsen-im-waermetest
Alten Seen auf den Grund gehen;Extreme Trockenheit oder Vulkanausbrüche beeinflussen die Entwicklung von Tierarten. Forscherinnnen und Forscher untersuchen, wie sich aquatische Arten in Indonesien entwickelten.;Zentrum für Integrative Biodiversitätsentdeckung, Forschung, Artenschutz, Evolution, Geowissenschaften;Dr. Thomas von Rintelen;https://www.museumfuernaturkunde.berlin/de/forschung/alten-seen-auf-den-grund-gehen
Artenbildung zwischen Orgelpfeifen;Forscherinnen und Forscher wollen ein besseres Verständnis von Artenbildungsprozessen in tropischen Karstgebieten gewinnen.;Zentrum für Integrative Biodiversitätsentdeckung, Forschung, Biodiversität, Evolution, Genetik;Dr. Thomas von Rintelen;https://www.museumfuernaturkunde.berlin/de/forschung/artenbildung-zwischen-orgelpfeifen
Wissenschaft, gemeinsam;Bürgerinnen und Bürger sollen sich aktiv an Forschung beteiligen. In einem europäischen Projekt machte das Museum für Naturkunde Berlin mit Partnerinstitutionen und Citizen Scientists gemeinsame Sache.;FB3 Gesellschaft und Natur, Social Innovation Unit, Forschung, Transfer, Öffnung des Museums, Wissenstransfer, Wissenschaftskommunikation, Bürgerwissenschaften, Gesellschaft, Kooperation;;https://www.museumfuernaturkunde.berlin/de/forschung/wissenschaft-gemeinsam
Krater-Chronologie;Die Entwicklungsgeschichte der Planeten des Sonnensystems vollziehen Forschende vom Museum für Naturkunde Berlin anhand von Spuren auf ihren Oberflächen nach.;FB1 Dynamik der Natur, Sonnensystem, Impakte & Meteoriten, Forschung;Prof. Dr. Kai Wünnemann;https://www.museumfuernaturkunde.berlin/de/forschung/krater-chronologie
Protokolle eines Massenaussterbens;Das Ende des Erdzeitalters Perm erlebte einen dramatischen Rückgang der Artenvielfalt. Forschende vom Museum für Naturkunde Berlin untersuchen zuvor wenig erkundete Fundstellen für Fossilien aus dieser Zeit.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Artensterben, Fossilien, Klimawandel;Dr. Dieter Korn;https://www.museumfuernaturkunde.berlin/de/forschung/protokolle-eines-massenaussterbens
Citizen Science „für Mensch und Umwelt“;Das Umweltbundesamt prüfte, ob es Citizen Science in Forschungsprojekten einsetzen kann und wie sich Aufwand und Nutzen verhalten. Das Museum für Naturkunde Berlin lieferte Input.;FB3 Gesellschaft und Natur, Social Innovation Unit, Forschung, Politik, Wissenstransfer, Bürgerwissenschaften, Gesellschaft;;https://www.museumfuernaturkunde.berlin/de/forschung/citizen-science-fuer-mensch-und-umwelt
Evolutionary Biology Seminar / Evolutionsbiologisches Seminar;Evolutionsbiologisches Seminar;FB1 Dynamik der Natur;Christian Mitgutsch;https://www.museumfuernaturkunde.berlin/de/forschung/evolutionary-biology-seminar/evolutionsbiologisches-seminar
Die Blätter der Kreide;Von einkeimblättrigen Pflanzen aus der Kreidezeit waren lange nur vergleichsweise wenige Vertreter bekannt. Ein Schrank in Berlin barg neue Hinweise auf die frühere Vielfalt.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Biodiversität, Fossilien;;https://www.museumfuernaturkunde.berlin/de/forschung/die-blaetter-der-kreide
Regenwald-Suche in Gondwana;Fossilien typischer Regenwald-Pflanzen sind älter als sie nach der Theorie von der Entstehung moderner tropischer Regenwälder sein dürfen. Ein Forscher vom Museum für Naturkunde Berlin verfolgt ihren Ursprung zurück.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Fossilien, Geowissenschaften;;https://www.museumfuernaturkunde.berlin/de/forschung/regenwald-suche-gondwana
Die Seepocken Ostindonesiens;Vor etwa 120 Jahren untersuchten Zoologen aus den Niederlanden Seepocken ostindonesischer Inseln. Eine Forscherin des Museums für Naturkunde Berlin folgt ihren Spuren.;Zentrum für Integrative Biodiversitätsentdeckung, Forschung, Morphologie, Sammlung, Biodiversität, Kooperation;Dr. Kristina von Rintelen;https://www.museumfuernaturkunde.berlin/de/forschung/die-seepocken-ostindonesiens
Beinlos durch den Untergrund;Über die noch wenig erforschten Doppelschleichen war bisher nicht viel bekannt. Forschende am Museum für Naturkunde Berlin gehen ihrer Entwicklungsgeschichte auf den Grund.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Evolution, Genetik;Prof. Dr. Johannes Müller;https://www.museumfuernaturkunde.berlin/de/forschung/beinlos-durch-den-untergrund
